Node_ID,Node_Name,Degree,Community,Betweenness_Centrality
64287,Scream 2,97,13,7926852.4539106395
87500,The Godfather,97,35,6266573.3179179225
46276,Victor Frankenstein,97,2,6488855.131279436
55515,Criminal,96,21,7569455.599508194
70371,Scream,96,13,8818096.229749043
72992,They,96,17,5571298.529483952
25165,Dredd,96,2,6489842.166133163
45911,Deep Rising,96,17,6544247.523053237
30171,Signs,96,15,6116139.964721577
93434,Maggie,96,21,6557968.499129132
70322,A Cinderella Story,96,42,7036837.070480219
69599,A Most Violent Year,96,15,6623593.748139476
54387,The Fountain,95,22,6983183.430093926
7413,The Lovers,95,24,12110426.987649392
73317,Southland Tales,95,10,8275083.318152449
41618,Central Intelligence,95,11,6914602.641049603
75563,Drive,95,17,6652852.399901836
74961,The Deer Hunter,95,28,7761698.647491302
48546,The Prestige,95,7,6850827.40404331
48739,Secret Window,95,22,6350739.980447265
48873,Jersey Boys,95,16,8607698.607112313
9766,Harry Potter and the Goblet of Fire,95,2,4682192.683664664
37572,Flyboys,95,2,7125276.963645486
39888,Chain Reaction,95,38,6970541.629562123
32502,The Insider,95,9,7327556.3682961585
7788,Wreck-It Ralph,95,14,5678564.862611889
56693,13 Going on 30,95,6,5966895.538916458
10325,The Matrix Reloaded,95,24,7829040.640919653
66938,School of Rock,95,15,7314714.629430318
27674,A Beautiful Mind,95,15,6955069.194264486
56132,The Princess Diaries,95,23,7605835.286832512
81634,Vera Drake,95,2,6819315.187351823
45133,The Bucket List,95,9,6159024.45649001
18844,Terminator 2: Judgment Day,95,9,6236761.376170398
85978,Club Dread,95,44,6595460.166986714
59600,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",95,5,7177022.0231616935
56979,Black Rain,95,9,8612019.009129666
45414,Anaconda,95,9,8235416.406564087
7231,Maleficent,95,2,6944450.866886215
18450,The Island,94,8,7249659.340804193
48043,Ride Along 2,94,19,6887625.479291589
27747,Journey 2: The Mysterious Island,94,1,6118913.322656654
83871,The Forest,94,40,6899557.514722172
56194,The First Wives Club,94,15,5616428.814076271
70147,Survivor,94,21,5958892.871533401
17138,Insurgent,94,25,7656491.638170443
78438,The Mist,94,21,7993408.500335309
85915,Pulp Fiction,94,34,8755030.144045932
